,Factor 1,Factor 2,Factor 3
temperature_c,-0.004236864295603797,0.007237554602674762,-0.04075473529223592
humidity,0.01566381688701069,0.011679037178959935,0.43797192075085833
rain_mm,0.03642407168262031,0.9963563584621095,0.03092251804695484
wind_speed_kmh,-0.012830482851456155,0.009473738647288866,0.04927001828771871
visibility_m_x,-0.023113146754690582,0.01603087682418443,-0.05826688147354887
vehicle_count,-0.0030016176424381884,0.007479196373970186,-0.05317113888949793
avg_speed_kmh,0.9967946342344384,-0.0306608409241235,-0.021561505823855333
accident_count,-0.021586174215629476,0.026782950256931542,-0.011682407008399136
